movie,reviewer,metascore,review_score,review_text,review_date,details
Tower,Manohla Dargis,92,100,"Using a limited frame, Mr. Maitland does his own commemorating, inherently raising questions about terror, the nature of heroism and what it means to really survive. He also does something even more necessary: He turns names on a plaque into people.","Oct 11, 2016",http://www.metacritic.com/movie/tower/details
Scott Pilgrim vs. the World,A.O. Scott,69,100,"Its speedy, funny, happy-sad spirit is so infectious that the movie makes you feel at home in its world even if the landscape is, at first glance, unfamiliar.",,http://www.metacritic.com/movie/scott-pilgrim-vs-the-world/details
High Noon (re-release),Bosley Crowther,89,100,"Meaningful in its implications, as well as loaded with interest and suspense, High Noon is a western to challenge &#147;Stagecoach&#148; for the all-time championship.  (Review of Original Release)",,http://www.metacritic.com/movie/high-noon-re-release/details
Invictus,A.O. Scott,74,100,"It’s an exciting sports movie, an inspiring tale of prejudice overcome and, above all, a fascinating study of political leadership.",,http://www.metacritic.com/movie/invictus/details
Citizen Kane,Bosley Crowther,100,100,"In spite of some disconcerting lapses and strange ambiguities in the creation of the principal character, Citizen Kane is far and away the most surprising and cinematically exciting motion picture to be seen here in many a moon. As a matter of fact, it comes close to being the most sensational film ever made in Hollywood.",,http://www.metacritic.com/movie/citizen-kane-1941/details
The Lives of Others,A.O. Scott,89,100,"The easy, complacent distance that informs much historical filmmaking is almost entirely absent from this supremely intelligent, unfailingly honest movie.",,http://www.metacritic.com/movie/the-lives-of-others/details
The Counselor,Manohla Dargis,48,100,"Mr. Scott’s seriousness isn’t always well served by the scripts he films, but in Mr. McCarthy he has found a partner with convictions about good and evil rather than canned formula.","Oct 24, 2013",http://www.metacritic.com/movie/the-counselor/details
Consuming Spirits,A.O. Scott,81,100,It is a work of obsessive artisanal discipline and unfettered artistic vision. You have never seen anything like it.,"Dec 12, 2012",http://www.metacritic.com/movie/consuming-spirits/details
Moonlight,A.O. Scott,99,100,"Moonlight is both a disarmingly, at times almost unbearably personal film and an urgent social document, a hard look at American reality and a poem written in light, music and vivid human faces.","Oct 20, 2016",http://www.metacritic.com/movie/moonlight-2016/details
Her,Manohla Dargis,90,100,"At once a brilliant conceptual gag and a deeply sincere romance, Her is the unlikely yet completely plausible love story about a man, who sometimes resembles a machine, and an operating system, who very much suggests a living woman.","Dec 17, 2013",http://www.metacritic.com/movie/her/details
Cave of Forgotten Dreams,Manohla Dargis,86,100,"The 3-D is sometimes less than transporting, and the chanting voices in the composer Ernst Reijseger's new-agey score tended to remind me of my last spa massage. Yet what a small price to pay for such time traveling!","Apr 28, 2011",http://www.metacritic.com/movie/caves-of-forgotten-dreams/details
A Sinner in Mecca,Andy Webster,68,100,"Mr. Sharma has created a swirling, fascinating travelogue and a stirring celebration of devotion.","Sep  3, 2015",http://www.metacritic.com/movie/a-sinner-in-mecca/details
Full Metal Jacket,Vincent Canby,76,100,"Kubrick's harrowing, beautiful and characteristically eccentric new film about Vietnam, is going to puzzle, anger and (I hope) fascinate audiences as much as any film he has made to date... A film of immense and very rare imagination.",,http://www.metacritic.com/movie/full-metal-jacket/details
Maria Full of Grace,Stephen Holden,87,100,"Sustains a documentary authenticity that is as astonishing as it is offhand. Even when you're on the edge of your seat, it never sacrifices a calm, clear-sighted humanity for the sake of melodrama or cheap moralizing.",,http://www.metacritic.com/movie/maria-full-of-grace/details
My King,Jeannette Catsoulis,68,100,"The movie’s ability to express, with directness and humor, the insecurities of intimacy — most remarkably during the couple’s first night together — is a delight.","Aug 11, 2016",http://www.metacritic.com/movie/my-king/details
The Great Beauty,Manohla Dargis,86,100,"A deliriously alive movie, The Great Beauty is the story of a man, a city, a country and a cinema, though not necessarily in that order.","Nov 14, 2013",http://www.metacritic.com/movie/the-great-beauty/details
The Look of Silence,A.O. Scott,92,100,"A painful, profoundly empathetic work of moral reckoning.","Jul 16, 2015",http://www.metacritic.com/movie/the-look-of-silence/details
Apollo 13,Elvis Mitchell,77,100,"You can know every glitch that made this such a dangerous mission, and Apollo 13 will still have you by the throat. [30 June 1995]",,http://www.metacritic.com/movie/apollo-13/details
Sausage Party,A.O. Scott,66,100,"You will come for the kind of humor promised in the title and the well-earned R rating, but stay for the nuanced meditations on theology and faith.","Aug 11, 2016",http://www.metacritic.com/movie/sausage-party/details
Shakespeare in Love,Elvis Mitchell,87,100,"Shakespeare meets Sherlock, and makes for pure enchantment in the inspired conjecture behind Shakespeare in Love.",,http://www.metacritic.com/movie/shakespeare-in-love/details
War for the Planet of the Apes,A.O. Scott,82,100,"There is a scene toward the end of War for the Planet of the Apes that is as vivid and haunting as anything I’ve seen in a Hollywood blockbuster in ages, a moment of rousing and dreadful cinematic clarity that I don’t expect to shake off any time soon.","Jul 12, 2017",http://www.metacritic.com/movie/war-for-the-planet-of-the-apes/details
Last Orders,Dana Stevens,78,100,"Like finding that perfect stage of moderate drunkenness in which the senses are sharpened rather than dulled, and time passes with leisurely grace.",,http://www.metacritic.com/movie/last-orders/details
A Man Vanishes (1967),Manohla Dargis,92,100,"Seemingly banal in its conceit, wildly startling in its execution, it tracks a film crew that, like a detective squad, investigates what became of an ordinary man.","Nov 14, 2012",http://www.metacritic.com/movie/a-man-vanishes-1967/details
La Dolce Vita (re-release),Bosley Crowther,93,100,"A brilliantly graphic estimation of a whole swath of society in sad decay and, eventually, a withering commentary upon the tragedy of the overcivilized.  (Review of Original Release)",,http://www.metacritic.com/movie/la-dolce-vita-re-release/details
Somewhere,A.O. Scott,67,100,"The opening shot of Somewhere, Sofia Coppola's exquisite, melancholy and formally audacious fourth feature, prepares you for what is to follow in a characteristically oblique and subtle manner.","Dec 21, 2010",http://www.metacritic.com/movie/somewhere/details
99 Homes,A.O. Scott,76,100,"If 99 Homes is a scolding look at a society gone astray, it is also a minor masterpiece of suspense, as tightly wound as “Sicario,” Denis Villeneuve’s white-knuckle drug-war thriller, and almost as brutal.","Sep 24, 2015",http://www.metacritic.com/movie/99-homes/details
Moneyball,Manohla Dargis,87,100,It's hard to imagine anyone but Mr. Pitt in the role. He's relaxed yet edgy and sometimes unsettling.,"Sep 22, 2011",http://www.metacritic.com/movie/moneyball/details
In the Bedroom,Stephen Holden,86,100,"When a film as profoundly quiet as In the Bedroom comes along, it feels almost miraculous, as if a shimmering piece of art had slipped below the radar and through the minefield of commerce.",,http://www.metacritic.com/movie/in-the-bedroom/details
A Mighty Wind,Dana Stevens,81,100,"Mr. Guest and Mr. Levy's jokes are sometimes so subtle as to seem imperceptible, until you realize that they are everywhere, from the broadest gestures to the tiniest details of dress and d&#233;cor.",,http://www.metacritic.com/movie/a-mighty-wind/details
A Christmas Tale,A.O. Scott,84,100,"A movie that is almost indecently satisfying and at the same time elusive, at once intellectually lofty -- marked by allusions to Emerson, Shakespeare and Seamus Heaney as well as Nietzsche -- and as earthy as the passionate provincial family that is its heart and cosmos and reason for being.",,http://www.metacritic.com/movie/a-christmas-tale/details
Lone Star,Elvis Mitchell,78,100,"Gratifyingly complex and beautifully told, this tale explores a huge array of cultural, racial, economic and familial tensions. In the process, it also sustains strong characters, deep emotions and clear dramatic force.",,http://www.metacritic.com/movie/lone-star/details
Three Sisters,Jeannette Catsoulis,tbd,100,Three Sisters documents extreme poverty in rural China with the compassionate eye and inexhaustible patience of a director whose curiosity about his country’s unfortunates never seems to wane.,"May  9, 2013",http://www.metacritic.com/movie/three-sisters/details
True Grit,Manohla Dargis,80,100,"In some ways, much like Charles Laughton's ""Night of the Hunter,"" which the Coens quote both musically and visually, True Grit is a parable about good and evil. Only here, the lines between the two are so blurred as to be indistinguishable, making this a true picture of how the West was won, or - depending on your view - lost.","Dec 21, 2010",http://www.metacritic.com/movie/true-grit/details
City of Life and Death,Manohla Dargis,85,100,"City of Life and Death isn't cathartic: it offers no uplifting moments, just the immodest balm of art. The horrors it represents can be almost too difficult to watch, yet you keep watching because Mr. Lu makes the case that you must.","May 12, 2011",http://www.metacritic.com/movie/city-of-life-and-death/details
Much Ado About Nothing,A.O. Scott,78,100,"From its very first scenes, Mr. Whedon’s film crackles with a busy, slightly wayward energy that recalls the classic romantic sparring of the studio era.","Jun  6, 2013",http://www.metacritic.com/movie/much-ado-about-nothing/details
The Act of Killing,A.O. Scott,89,100,The horror of The Act of Killing does not dissipate easily or yield to anything like clarity.,"Jul 18, 2013",http://www.metacritic.com/movie/the-act-of-killing/details
The Marquise of O,Vincent Canby,85,100,"It's a dazzling testament to the civilizing effects of several different arts, witty, joyous and so beautiful to look at that it must seem initially suspect to those of us who have begun to respond to spray-painted subway graffiti as the fine art of our time.",,http://www.metacritic.com/movie/the-marquise-of-o/details
The Square,A.O. Scott,84,100,"Even though The Square depicts widely covered recent events, it still feels like a revelation. This is partly because of the immediacy of Ms. Noujaim’s approach, which often puts the viewer in the midst of chaos as it unfolds.","Oct 24, 2013",http://www.metacritic.com/movie/the-square-2013/details
Last Days,Manohla Dargis,67,100,One of this year's indisputably great films.,,http://www.metacritic.com/movie/last-days/details
Listen Up Philip,Manohla Dargis,76,100,"Words do more than hurt, they also slash and burn in this sharp, dyspeptic, sometimes gaspingly funny exploration of art and life, men and women, being and nonbeing, and the power and limits of language.","Oct 16, 2014",http://www.metacritic.com/movie/listen-up-philip/details
U2 3D,,83,100,"Not merely a technical landmark -- shot entirely in digital 3D -- but also an aesthetic one, in that it’s the first Imax movie that deserves to be called a work of art.",,http://www.metacritic.com/movie/u2-3d/details
We Are the Best!,A.O. Scott,87,100,"There is hardly a shortage of movies about rock ’n’ roll, but there are few as perfect — which is to say as ragged, as silly, as touching or as true — as We Are the Best!.","May 29, 2014",http://www.metacritic.com/movie/we-are-the-best!/details
Z for Zachariah,Jeannette Catsoulis,68,100,"Maintaining a strict formal allegiance to reserve and restraint, [Mr. Zobel] shapes a dreamily elegant emotional ballet from glances and gestures and subtle shifts in power.","Aug 27, 2015",http://www.metacritic.com/movie/z-for-zachariah/details
Gregory Crewdson: Brief Encounters,Jeannette Catsoulis,87,100,"With marvelous discipline, Mr. Shapiro crams a wealth of material into a tight 77 minutes, smoothly communicating the group effort required to achieve the perfect shot.","Oct 31, 2012",http://www.metacritic.com/movie/gregory-crewdson-brief-encounters/details
La Camioneta: The Journey of One American School Bus,Stephen Holden,82,100,"Mark Kendall’s quietly moving documentary, La Camioneta: The Journey of One American School Bus, is as modest and farsighted as its cast of Guatemalans who make a living resurrecting discarded American school buses.","May 30, 2013",http://www.metacritic.com/movie/la-camioneta-the-journey-of-one-american-school-bus/details
Chariots of Fire,Vincent Canby,78,100,"Unashamedly rousing, invigorating but very clear-eyed evocat ion of values of the oldfashioned sort that are today more easily satirized than celebrated...It's an exceptional film, about some exceptional people.",,http://www.metacritic.com/movie/chariots-of-fire/details
