movie,reviewer,metascore,review_score,review_text,review_date,details
Men & Chicken,Glenn Kenny,64,60,"The movie’s grave commitment to its own quirkiness is admirable, I suppose. But that doesn’t mean I’m going to recommend it.","Apr 21, 2016",http://www.metacritic.com/movie/men-chicken/details
Before We Go,Ben Kenigsberg,31,60,"The chemistry makes the movie’s pleasures easy to surrender to, albeit fleetingly.","Sep  3, 2015",http://www.metacritic.com/movie/before-we-go/details
Psycho II,Vincent Canby,54,60,"Though Psycho II is essentially camp entertainment, Mr. Perkins plays Norman as legitimately as possible, and sometimes to real comic effect. His new Norman doesn't seem as much rehabilitated as reconstituted, but as what? That's the point of the film.",,http://www.metacritic.com/movie/psycho-ii/details
Romeo + Juliet,Janet Maslin,60,60,"Mr. Luhrmann's frenetic hodgepodge actually amounts to a witty and sometimes successful experiment, an attempt to reinvent ""Romeo and Juliet"" in the hyperkinetic vocabulary of post-modern kitsch. This is headache Shakespeare, but there's method to its madness.",,http://www.metacritic.com/movie/romeo-and-juliet/details
Sling Blade,Elvis Mitchell,84,60,Thornton is sadly affecting in the film's central role.,,http://www.metacritic.com/movie/sling-blade/details
Zoo,Manohla Dargis,63,60,"Paradoxically, it is precisely because Mr. Devor refuses to acknowledge the murkiness that clings to every frame in his film, because he refuses to engage with the world beyond that of the zoophiles, that they seem like creatures from some never-ending night.",,http://www.metacritic.com/movie/zoo/details
I Do Bidoo Bidoo: Heto nApo sila!,Jon Caramanica,tbd,60,An exuberant if creaky Filipino musical that never lets story get in the way of its songs.,"Nov 30, 2012",http://www.metacritic.com/movie/i-do-bidoo-bidoo-heto-napo-sila!/details
Gray's Anatomy,Janet Maslin,60,60,"This direction is more ambitious than apt, since it calls attention to the artifice that Mr. Gray otherwise conceals so well. Cuts and scene changes become distractingly blunt, as do the star's efforts to suggest spontaneous enthusiasm.",,http://www.metacritic.com/movie/grays-anatomy/details
All These Sleepless Nights,Ben Kenigsberg,70,60,For all its visual and sonic pleasures — see it in a theater with a good subwoofer — All These Sleepless Nights feels simple-minded in its commitment to drift above all else.,"Apr 13, 2017",http://www.metacritic.com/movie/all-these-sleepless-nights/details
The Man in the Iron Mask,Elvis Mitchell,48,60,"Beyond its persistent coarseness, Wallace's story often trades yesterday's inspiration (Dumas) for today's (Simpson-Bruckheimer).",,http://www.metacritic.com/movie/the-man-in-the-iron-mask/details
The Lost World: Jurassic Park,Stephen Holden,59,60,"Where the original film was a cut-and-dried Pop-Art-flavored allegory pitting scientific hubris against the unpredictable, ungovernable forces of nature, the sequel is an all-stops-pulled, edge-of-your-seat adventure film whose messages are not so neatly packaged.",,http://www.metacritic.com/movie/the-lost-world-jurassic-park/details
Dr. Dolittle 2,Dana Stevens,49,60,"Mr. Murphy is not given much to do in this sloppy, good-hearted sequel, so he graciously allows himself to be upstaged by all manner of animatronic, celebrity-voiced talking animals.",,http://www.metacritic.com/movie/dr-dolittle-2/details
Our Beloved Month of August,Mike Hale,82,60,The whole turns out to be less than the sum of its elegantly constructed and cleverly uncategorizable parts.,"Jul 18, 2017",http://www.metacritic.com/movie/our-beloved-month-of-august/details
Cold Bloom,Nicolas Rapold,tbd,60,"Cold Bloom, in its tightly controlled moods, comes to feel like a smaller and more tentative film than it might have been, despite an admirably frank ending.","May 15, 2014",http://www.metacritic.com/movie/cold-bloom/details
Man of Steel,Manohla Dargis,55,60,"At once frantically overblown and beautifully filigreed, Man of Steel will turn on everyone it doesn’t turn off.","Jun 13, 2013",http://www.metacritic.com/movie/man-of-steel/details
Go for Zucker,Stephen Holden,60,60,"It's the rare German movie calling itself a comedy that is actually funny, even if only in bits and pieces.",,http://www.metacritic.com/movie/go-for-zucker/details
Such a Long Journey,Dana Stevens,74,60,The main problem with Such a Long Journey is its storytelling. There is simply too much happening.,,http://www.metacritic.com/movie/such-a-long-journey/details
All My Loved Ones,Dave Kehr,50,60,"The material continues to carry its inherent emotional power and moral importance. As banal as the telling may be -- and at times, All My Loved Ones more than flirts with kitsch -- the tale commands attention.",,http://www.metacritic.com/movie/all-my-loved-ones/details
Veer-Zaara,Anita Gates,67,60,"If Veer-Zaara were an American television movie, it would be embraced as fabulously trashy.",,http://www.metacritic.com/movie/veer-zaara/details
A Short History of Decay,Nicolas Rapold,54,60,"Despite Mr. Maren’s own ample experience as a writer, the references to book culture don’t feel vivid enough to act as more than scene-setting, and the film’s strength lies in the family relationships.","May 15, 2014",http://www.metacritic.com/movie/a-short-history-of-decay/details
Porn Star: The Legend of Ron Jeremy,Dave Kehr,54,60,"Entertaining, lightly mocking documentary.",,http://www.metacritic.com/movie/porn-star-the-legend-of-ron-jeremy/details
The Great Yokai War,Dana Stevens,63,60,"Narrative coherence is perhaps not among the film's virtues, but its loopy, cluttered story is part of the fun. And a clearer, simpler plot might have required the sacrifice of some delightful grace notes and visual marvels, like the elastic-necked geisha or the one-eyed ambulatory umbrella.",,http://www.metacritic.com/movie/the-great-yokai-war/details
An American Rhapsody,Dave Kehr,51,60,"Ms. Gardos is not a particularly flavorful filmmaker, but she is an honest one.",,http://www.metacritic.com/movie/an-american-rhapsody/details
Eagles of Death Metal: Nos Amis (Our Friends),Neil Genzlinger,72,60,"The vivid recollections of the attack by survivors, including Mr. Hughes, take over the film midway through, and the friendship story line never quite re-establishes itself.","Feb  9, 2017",http://www.metacritic.com/movie/eagles-of-death-metal-nos-amis-our-friends/details
Bombay Velvet,Rachel Saltz,tbd,60,"For much of its first half, Bombay Velvet hums with the kind of energy found in movies by the 1970s American directors....Mr. Kashyap is perhaps too faithful to his Bollywood imperatives, though. In the grand tradition, his film is overlong (149 minutes) and overplotted.","May 15, 2015",http://www.metacritic.com/movie/bombay-velvet/details
Chungking Express,Janet Maslin,77,60,"While its slender, two-tiered plot links love affairs that happen largely by accident, the film's real interest seems to lie in raffish affectation. Mr. Wong has legitimate visual flair, but his characters spend an awful lot of time playing impish tricks.",,http://www.metacritic.com/movie/chungking-express/details
10 Years,Stephen Holden,61,60,"An unpretentious, well-acted ensemble piece that doesn't aspire to be a portentous generational time capsule like ""The Big Chill,"" ""American Graffiti"" or ""Diner."" But it has enough markers - a grown-up, married white rapper who break dances; a karaoke bar - to suggest an approximate date.","Sep 13, 2012",http://www.metacritic.com/movie/10-years/details
Man in the Chair,Stephen Holden,44,60,"Man in the Chair has few surprises. Once its machinery is humming, it settles into a soothing fable of a last hurrah.",,http://www.metacritic.com/movie/man-in-the-chair/details
What a Man,Andy Webster,39,60,"It may hit all-too-familiar notes, but its sureness of tone makes Mr. Schweighöfer a talent to watch.","Nov 30, 2012",http://www.metacritic.com/movie/what-a-man/details
Management,Stephen Holden,50,60,"Mike may be a bumbling sad sack, but Mr. Zahn gives him just enough spunky appeal to lend this unlikely fly-by-afternoon coupling and its consequences a shred of credibility.",,http://www.metacritic.com/movie/management/details
The Omen,,62,60,"It is a dreadfully silly film, which is not to say that it is totally bad. Its horrors are not horrible, its terrors are not terrifying, its violence is ludicrous—which may be an advantage—but it does move along. There is not a great deal of excitement, but we manage to sustain some curiosity as to how things will work out. The Omen is the kind of movie to take along on a long airplane trip.",,http://www.metacritic.com/movie/the-omen-1976/details
Swiri,Dana Stevens,50,60,"Mr. Kang is a gifted choreographer of bloody chaos, but he has enough range and imagination to strew a few interludes of haunting tenderness amid the shell casings and ketchup packs.",,http://www.metacritic.com/movie/swiri/details
I Am a Sex Addict,Nathan Lee,62,60,"The movie is a minor triumph of sincerity, neatly skirting the pitfalls of narcissism and unexamined misogyny. It never mugs for our good will, only our witness, which it rewards with honesty and wit.",,http://www.metacritic.com/movie/i-am-a-sex-addict/details
Sicario,A.O. Scott,82,60,"Mr. Villeneuve, aided by Taylor Sheridan’s lean script, Roger Deakins’s parched cinematography and Johann Johannsson’s slow-moving heart attack of a score, respects the imperatives of genre while trying to avoid the usual clichés. It’s not easy, and he doesn’t entirely succeed.","Sep 17, 2015",http://www.metacritic.com/movie/sicario/details
The Paris Opera,Ben Kenigsberg,54,60,The Paris Opera feels at once sprawling and insufficiently patient.,"Oct 17, 2017",http://www.metacritic.com/movie/the-paris-opera/details
Invincible,Jeannette Catsoulis,63,60,Invincible counters its predictably inspirational trajectory with close attention to historical detail and blue-collar hardship.,,http://www.metacritic.com/movie/invincible/details
The Words,Stephen Holden,37,60,"A clever, entertaining yarn that doesn't bear close scrutiny.","Sep  6, 2012",http://www.metacritic.com/movie/the-words/details
The Ladykillers,Dana Stevens,56,60,"Unquestionably minor, perhaps deliberately so, but it is nonetheless intermittently delightful.",,http://www.metacritic.com/movie/the-ladykillers/details
Morning Glory,Manohla Dargis,57,60,A passably amusing romantic comedy with a laugh-strewn script that's almost undone by the hard sell of an enterprise that drills every emotional beat into your head.,"Nov  9, 2010",http://www.metacritic.com/movie/morning-glory/details
Return to Never Land,Stephen Holden,49,60,"If Return to Never Land -- doesn't have a story to match the original's in breadth and imagination, it does a smooth job of recycling its characters and themes.",,http://www.metacritic.com/movie/return-to-never-land/details
If I Stay,A.O. Scott,46,60,"The director, R. J. Cutler, whose previous work has mostly been in big- and small-screen documentaries, has a way of underplaying large feelings and amplifying subtle shifts of mood.","Aug 21, 2014",http://www.metacritic.com/movie/if-i-stay/details
Dark Blue,Dana Stevens,57,60,"Unfortunately, the rest of the movie does not live up to Mr. Russell's performance.",,http://www.metacritic.com/movie/dark-blue/details
The American Side,Ben Kenigsberg,65,60,"If the self-consciousness can be charming, it also prevents The American Side from becoming fully its own film.","Apr 28, 2016",http://www.metacritic.com/movie/the-american-side/details
Holy Rollers,Mike Hale,51,60,"Mr. Eisenberg and particularly Mr. Bartha give appropriately twitchy, live-wire performances, and the film tells its basically bleak story lucidly and with touches of dark humor.",,http://www.metacritic.com/movie/holy-rollers/details
ATM,Andy Webster,34,60,"Mr. Brooks capitalizes on antiseptic, fluorescent interiors, while the score, by David Buckley, nicely accents stress points.","Apr  5, 2012",http://www.metacritic.com/movie/atm/details
Sled Dogs,Helen T. Verongos,70,60,It’s easy to fall in love with the animals in Sled Dogs. It’s thornier to sift through the words of the handlers and mushers — many of whom seem to genuinely care for the dogs — and determine how pervasive abuse is in dog-sledding ventures.,"Jul 27, 2017",http://www.metacritic.com/movie/sled-dogs/details
Just a Kiss,Stephen Holden,39,60,What elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish.,,http://www.metacritic.com/movie/just-a-kiss/details
Girl 6,Janet Maslin,44,60,"Mr. Lee isn't as successful at shaping a story around Girl 6, but enjoying her company is all his slender, sunny film really tries to do.",,http://www.metacritic.com/movie/girl-6/details
Lethal Weapon 3,Vincent Canby,36,60,Lethal Weapon 3 isn't that much worse than the two earlier films.,,http://www.metacritic.com/movie/lethal-weapon-3/details
Virtuosity,Janet Maslin,39,60,"If all of Virtuosity were as tightly controlled as that, it would exert a greater fascination than it finally does.",,http://www.metacritic.com/movie/virtuosity/details
The Discovery,Neil Genzlinger,55,60,"The story stays intriguing for much of the way, but eventually things cease to make sense.","Mar 29, 2017",http://www.metacritic.com/movie/the-discovery/details
Looney Tunes: Back in Action,Stephen Holden,64,60,"If the movie has loads of nerve, its ambitious fusion of cartoons and live-action comedy is only fitfully amusing.",,http://www.metacritic.com/movie/looney-tunes-back-in-action/details
Mimosas,Jeannette Catsoulis,64,60,"At best ambiguous and at worst unfathomable, Mimosas, the sophomore feature from the Spanish director Oliver Laxe, merges harsh reality and offbeat mysticism into a reflection on the tug between our higher powers and baser instincts.","Apr 13, 2017",http://www.metacritic.com/movie/mimosas/details
Twentynine Palms,Stephen Holden,43,60,"The sustained force of Mr. Dumont's vision of existence as a swirl of brute instincts may not be easy to absorb, but it marks him as a major filmmaker.",,http://www.metacritic.com/movie/twentynine-palms/details
Tae Guk Gi: The Brotherhood of War,Dave Kehr,64,60,"Far more ambivalent and ambiguous film than Mr. Spielberg's. Both North and South are portrayed as brutal, abusive regimes that use their citizens as so much cannon fodder.",,http://www.metacritic.com/movie/tae-guk-gi-the-brotherhood-of-war/details
Jimmy's Hall,Stephen Holden,63,60,"The screenplay is vague not only about politics but also about the history of Jimmy’s unconsummated relationship with his former sweetheart, Oonagh (Simone Kirby), now married, whose wide Susan Sarandon eyes express a wistful sadness.","Jul  2, 2015",http://www.metacritic.com/movie/jimmys-hall/details
Fever,Daniel M. Gold,tbd,60,"Fever doesn’t come to a neat ending and ultimately feels unsatisfying. Before then, though, it’s an intriguing and intelligent update of a true crime still chilling more than 90 years later.","Aug 27, 2015",http://www.metacritic.com/movie/fever-2015/details
Beyond the Clouds,Stephen Holden,66,60,"The impact of these stories is not in the words but in the way the mood, texture and the acting build each situation into a visually intense parable about the similarity of spiritual, erotic and aesthetic aspiration.",,http://www.metacritic.com/movie/beyond-the-clouds/details
Dudley Do-Right,Elvis Mitchell,44,60,Works well as family entertainment.,,http://www.metacritic.com/movie/dudley-do-right/details
David,Nicolas Rapold,tbd,60,"Rather than being a star- or song-driven showcase (despite a notably eclectic soundtrack), David zigzags tonally and visually thanks to Mr. Nambiar, an eager student of flair.","Feb  3, 2013",http://www.metacritic.com/movie/david/details
Turn It Around: The Story of East Bay Punk,Monica Castillo,65,60,"While zine-style animated sequences and VHS taped interviews enliven the pace, the documentary is burdened by too much minutiae. Not every scar earned at a concert deserves to be immortalized in a documentary.","Jul 27, 2017",http://www.metacritic.com/movie/turn-it-around-the-story-of-east-bay-punk/details
Tristan and Isolde,Manohla Dargis,49,60,"Just as there is something undeniably pleasant about an entertainment like Tristan & Isolde that delivers exactly what it promises, no less, no more.",,http://www.metacritic.com/movie/tristan-and-isolde/details
Blast from the Past,Elvis Mitchell,48,60,"Fortunately, the Webber shelter is a jaunty monument to kitsch, and the Webbers themselves are an appealingly batty crew.",,http://www.metacritic.com/movie/blast-from-the-past/details
A Moment of Silence,Helen T. Verongos,tbd,60,"This ambitious documentary, by Ferdinando Vicentini Orgnani, is largely pleasing to the eye, and it pays close attention to the eloquent activists at its core. Journalists of every stripe provide context, perhaps more than we can digest.","May 19, 2016",http://www.metacritic.com/movie/a-moment-of-silence/details
True Legend,Mike Hale,62,60,"After a stirring opening battle, however, the fights in True Legend become pretty routine. And beyond some lovely mountain scenery and a tiny cameo by a radiant Michelle Yeoh, there isn't much else to look at.","May 12, 2011",http://www.metacritic.com/movie/true-legend/details
Llyn Foulkes One Man Band,Nicolas Rapold,63,60,"The filmmakers are blessed and cursed with a subject who seems to lack the usual filters. We in turn witness Mr. Foulkes in action, at length — revamping his works, railing against the art world and speaking his neurotic mind.","May  6, 2014",http://www.metacritic.com/movie/llyn-foulkes-one-man-band/details
Trust Me,Stephen Holden,51,60,"As the movie picks up speed and undergoes sudden, confusing plot reversals, it loses its satirical edge.","Jun  5, 2014",http://www.metacritic.com/movie/trust-me/details
Focus,Stephen Holden,53,60,"The movie's surreal style, with its film-noir camerawork and ominous lighting, turns the story into a fable about fear and nonconformism, and Mr. Macy's and Ms. Dern's carefully shaded caricatures match the mood.",,http://www.metacritic.com/movie/focus/details
Searching for Home: Coming Back From War,Anita Gates,tbd,60,"There is little new insight, although the film does create an instructive tension between admiring bravery and sacrifice and being appalled by war itself.","Aug 20, 2015",http://www.metacritic.com/movie/searching-for-home-coming-back-from-war/details
Mully,Ken Jaworowski,tbd,60,"Mr. Mully’s actions speak for themselves, and his robust personality makes him a pleasure to listen to. If the film doesn’t always dig deeply into this man’s life, we still see the results of his efforts. Those are enough to admire.","Oct 26, 2017",http://www.metacritic.com/movie/mully/details
The Other Side of the Bed,Stephen Holden,47,60,A satire of contemporary sexual warfare that leaves you smiling but also stung.,,http://www.metacritic.com/movie/the-other-side-of-the-bed/details
Grace,Mike Hale,52,60,"Mr. Solet does not possess anything close to Mr. Polanski’s storytelling or image-making skills, but with the help of his sound crew (four people are given sound design or editing credits), he keeps you on the edge of your seat, or perhaps the edge of fleeing the theater.",,http://www.metacritic.com/movie/grace/details
B-52,A.O. Scott,46,60,"It is intermittently engrossing, though a little overextended for the deadpan approach that Mr. Bitomsky uses.",,http://www.metacritic.com/movie/b-52/details
A Proper Violence,Jeannette Catsoulis,41,60,That it eventually - if barely - succeeds is due more to the resilience of its actors than to the discipline of its makers.,"Aug 25, 2011",http://www.metacritic.com/movie/a-proper-violence/details
Scouts Guide to the Zombie Apocalypse,Neil Genzlinger,32,60,"It’s all too dumb and ribald for most tastes, but if you liked all the zombie comedies that came before, well, here’s another one.","Oct 29, 2015",http://www.metacritic.com/movie/scouts-vs-zombies/details
The Children of Huang Shi,Jeannette Catsoulis,49,60,"Roger Spottiswoode directs with old-fashioned style, avoiding the saccharine with realistic depictions of a war-ravaged China (where he filmed) and a cast well versed in stiff-upper-lip.",,http://www.metacritic.com/movie/the-children-of-huang-shi/details
Dough,Neil Genzlinger,44,60,"Dough is sweet, often funny and always nonthreatening, a movie for those who wish the intractable realities of the world would just disappear.","Apr 28, 2016",http://www.metacritic.com/movie/dough/details
Arakimentari,Manohla Dargis,61,60,More of a sketch than a fully developed portrait.,,http://www.metacritic.com/movie/arakimentari/details
Beneath the Harvest Sky,Stephen Holden,62,60,"Beneath the Harvest Sky reaches a dramatic climax that is so rushed and confusing, you are left scratching your head. But for all its missteps, the film feels authentic. Through thick and thin, it stubbornly maintains a thorny integrity.","May  1, 2014",http://www.metacritic.com/movie/beneath-the-harvest-sky/details
Astoria,Lawrence Van Gelder,29,60,"In retelling this timeworn story of conflict between young men in the New World and their stubborn Old World fathers, Mr. Efteriades may not have generated many sparks, but with his affection for Astoria and its people he has given his tale a warm glow.",,http://www.metacritic.com/movie/astoria/details
Willow Creek,Jeannette Catsoulis,62,60,Mr. Goldthwait exercises so much caution that you want to get behind his characters and push.,"Jun  5, 2014",http://www.metacritic.com/movie/willow-creek/details
Our Brand Is Crisis,Manohla Dargis,53,60,"It’s cute for a while. The stars are pros, and their scenes, often staged so that the characters are within breathing distance of each other, have snap.","Oct 29, 2015",http://www.metacritic.com/movie/our-brand-is-crisis-2015/details
The Cake Eaters,Stephen Holden,60,60,"Superior acting elevates a small, overcrowded ensemble piece set in rural upstate New York into something a little deeper and truer than the mawkish disease-of-the-week movie it threatens to become.",,http://www.metacritic.com/movie/the-cake-eaters/details
Welcome to the Punch,Manohla Dargis,49,60,"There are good movies and plenty more bad ones and many, many more that fall somewhere in between. And then there are enjoyable absurdities like Welcome to the Punch, which contain evaluative multitudes and which, scene by scene, register as not bad, pretty good and flat-out ridiculous.","Mar 26, 2013",http://www.metacritic.com/movie/welcome-to-the-punch/details
Road Trip,Stephen Holden,55,60,Bad taste is timeless. And sometimes it can be so funny that you can't help laughing.,,http://www.metacritic.com/movie/road-trip/details
Becoming Traviata,Rachel Saltz,74,60,May not be fully satisfying as a documentary. But it has what any good movie needs: a star — the ever-game soprano Natalie Dessay.,"May 14, 2013",http://www.metacritic.com/movie/becoming-traviata/details
ATL,Neil Genzlinger,63,60,"The fun here is in seeing a new batch of rappers try acting, and some of them turn out to be eminently watchable.",,http://www.metacritic.com/movie/atl/details
Friday After Next,A.O. Scott,35,60,"The trouble with movies like those in the ""Friday"" series is that their success can lead to a need to inflate their importance, inviting pretentious descriptions like ""folkloric"" when ""Friday"" is much closer to chitlin circuit comedy.",,http://www.metacritic.com/movie/friday-after-next/details
The American,A.O. Scott,61,60,"It is a reasonably skillful exercise in genre and style, a well-made vessel containing nothing in particular, though some of its features - European setting, slow pacing, full-frontal female nudity - are more evocative of the art house than of the multiplex.",,http://www.metacritic.com/movie/the-american/details
Carrie,,85,60,"Mr. de Palma has ordered universal overacting. Piper Laurie does it with considerable grace—the wicked witch in a children's pantomime. The marvel, though, is Sissy Spacek. She makes us perfectly aware that she is overacting, and yet she is very effective. Her hysteria is far too hysterical. Her delight in being taken to the prom is far too radiant. But it moves us.",,http://www.metacritic.com/movie/carrie-1976/details
Bad Teacher,Manohla Dargis,47,60,Ms. Diaz has found her down-and-dirty element in the kind of broad comedy that threatens to get ugly and more or less succeeds on that threat.,"Jun 23, 2011",http://www.metacritic.com/movie/bad-teacher/details
The Family,Stephen Holden,42,60,"The movie has holes galore. It has abrupt tonal shifts, an incoherent back story and abandoned subplots. It doesn’t even try for basic credibility. But buoyed by hot performances, it sustains a zapping electrical energy.","Sep 12, 2013",http://www.metacritic.com/movie/the-family/details
Nightcrawler,A.O. Scott,76,60,"Nightcrawler is a slick and shallow movie desperate, like Lou himself, to be something more.","Oct 30, 2014",http://www.metacritic.com/movie/nightcrawler/details
Identity Thief,Manohla Dargis,35,60,"As is the case with other unsatisfactory diversions, it is entirely possible to ignore the worst parts of this movie, to drift along during the lulls, slide over the half-baked jokes and just wait for Ms. McCarthy and Mr. Bateman to do their things.","Feb  7, 2013",http://www.metacritic.com/movie/identity-thief/details
4:44 Last Day on Earth,A.O. Scott,54,60,"Your last day - or, as it happens, the whole planet's last day - will be just like every other one. Mr. Ferrara makes this point with ingenuity and characteristic thrift by using found news footage to provide images of apocalypse.","Mar 22, 2012",http://www.metacritic.com/movie/444-last-day-on-earth/details
The Human Experiment,Jeannette Catsoulis,44,60,"It may leave many bases uncovered (a section on groundbreaking European legislation is inadequately explained), but it will also leave you looking a lot more closely at what you put on your skin, in your mouth and underneath your sink.","Apr 16, 2015",http://www.metacritic.com/movie/the-human-experiment/details
Mascots,Stephen Holden,57,60,"Although Mascots is neither as funny nor as satirically acute as its forerunner, it would be churlish to complain too loudly. And the sharpest verbal jokes in the screenplay by Mr. Guest and the actor and writer Jim Piddock are as inspired as ever. Mr. Guest’s gift for the archly comedic mot juste is undiminished.","Oct 12, 2016",http://www.metacritic.com/movie/mascots/details
Perfect Sense,Stephen Holden,55,60,"The love story doesn't quite work. Mr. McGregor and Ms. Green make an attractive couple. But the movie's notion of two self-centered people ill suited to each other, shedding their defenses and clinging together, feels forced and sentimental.","Feb  2, 2012",http://www.metacritic.com/movie/perfect-sense/details
Madea's Big Happy Family,Andy Webster,45,60,"This time the suds outweigh the humor, and to its credit Mr. Perry's script doesn't duck tragic consequences.","Apr 25, 2011",http://www.metacritic.com/movie/madeas-big-happy-family/details
The Curse of the Jade Scorpion,Dana Stevens,52,60,"A loose- jointed, not especially memorable comic caper with some lovely moments of humorous invention, many patches of clumsy writing and a few game performances.",,http://www.metacritic.com/movie/the-curse-of-the-jade-scorpion/details
The Eye of the Storm,Manohla Dargis,55,60,"Whether she's lying in bed, her gray hair spilling out around her head, or exalting in existence itself during one of several flashbacks, Elizabeth draws you in, which works for the story and simultaneously unbalances it.","Sep  6, 2012",http://www.metacritic.com/movie/the-eye-of-the-storm/details
AKA,Dave Kehr,64,60,"His (Roy's) informed contempt is highly entertaining, but he neglects some of the more problematical and perhaps more illuminating aspects of his story.",,http://www.metacritic.com/movie/aka/details
Major League,Caryn James,62,60,"Major League trots out the standard formula, but has the wit to make fun of it now and then. The film is so loopy that it glides over its cliches and indulges in some congenial movie-baseball silliness.",,http://www.metacritic.com/movie/major-league/details
MIS Human Secret Weapon,Neil Genzlinger,47,60,"The execution is a bit clumsy, but the documentary MIS: Human Secret Weapon shines a light on an interesting bit of World War II history.","Apr  5, 2012",http://www.metacritic.com/movie/mis-human-secret-weapon/details
Mad Love,A.O. Scott,55,60,"An often watchable, though goofy and lurid, blast of a costume drama set in the late 15th century.",,http://www.metacritic.com/movie/mad-love/details
Southwest of Salem: The Story of the San Antonio Four,Ben Kenigsberg,67,60,"""Southwest of Salem” proceeds with what have become sobering tropes for true-crime documentaries: a defendant saying she didn’t realize she needed a lawyer; outsiders explaining how they grew convinced of a miscarriage of justice.","Sep 15, 2016",http://www.metacritic.com/movie/southwest-of-salem-the-story-of-the-san-antonio-four/details
Giuliani Time,Dana Stevens,61,60,"In general, and in spite of its deft use of archival video clips and interviews, Giuliani Time offers a superficial reading of recent New York history, zeroing in on the headlines while often missing the context.",,http://www.metacritic.com/movie/giuliani-time/details
Halloween 5: The Revenge of Michael Myers,Stephen Holden,31,60,"Halloween 5, which was directed by Dominique Othenin-Girard and opened yesterday at area theaters, is a bit more refined in its details than the conventional horror movie.",,http://www.metacritic.com/movie/halloween-5-the-revenge-of-michael-myers/details
The Time Is... Now,Daniel M. Gold,tbd,60,The Time Is ... Now is a well-meaning if congenitally flawed bit of uplift about how to endure catastrophe and violence in a world that has no shortage of either.,"Sep 26, 2013",http://www.metacritic.com/movie/the-time-is-now/details
Dr. Bronner's Magic Soapbox,Jeannette Catsoulis,61,60,Mixes method and madness to chart the evolution of a counterculture phenomenon.,,http://www.metacritic.com/movie/dr-bronners-magic-soapbox/details
Bettie Page Reveals All,Manohla Dargis,64,60,"No life is seamless, and not every biographical portrait needs to be, but this one is so riddled with awkward transitions, including on the soundtrack, that it tends to lurch distractingly, as if Mr. Mori were still trying to figure out how to piece the whole thing together.","Nov 21, 2013",http://www.metacritic.com/movie/bettie-page-reveals-all/details
The Mighty Ducks,Janet Maslin,46,60,"As directed by Stephen Herek, The Mighty Ducks moves energetically but lacks the enjoyable quirkiness of Bill and Ted's Excellent Adventure, which Mr. Herek also directed.",,http://www.metacritic.com/movie/the-mighty-ducks/details
Face,Lawrence Van Gelder,50,60,The director's attention to details of character and locale makes for a precise evocation of a New York seldom seen in feature films.,,http://www.metacritic.com/movie/face/details
Sidewalks of New York,Dana Stevens,49,60,"The time is right for a breezy, captivating New York romantic comedy. Sidewalks of New York is not an especially good movie, but it will do.",,http://www.metacritic.com/movie/sidewalks-of-new-york/details
Once Upon a Time in the West (re-release),Vincent Canby,80,60,"The biggest, longest, most expensive Leone Western to date, and, in many ways, the most absurd... Granting the fact that it is quite bad, Once Upon the Time in the West is almost always interesting, wobbling, as it does, between being an epic lampoon and a serious hommage to the men who created the dreams of Leone's childhood.
(Review of Original Release)",,http://www.metacritic.com/movie/once-upon-a-time-in-the-west/details
Girl on the Bridge,Dana Stevens,75,60,"Leconte's visual instincts are so impressive that they outstrip his story, leaving us flushed and dazzled, but also, as after a long night of champagne and baccarat (to say nothing of other irresponsible pleasures), hungry, tired, and homesick.",,http://www.metacritic.com/movie/la-fille-sur-le-pont/details
ABCD,Stephen Holden,53,60,"A better and more serious film than its forerunner, ""American Desi.""",,http://www.metacritic.com/movie/abcd/details
The Beauty Inside,Helen T. Verongos,48,60,"The film, pleasing and inoffensive, often amuses as it wrestles with the nature of familiarity as well as the question of where beauty resides.","Sep 10, 2015",http://www.metacritic.com/movie/the-beauty-inside/details
The Last Time I Saw Macao,Manohla Dargis,69,60,"A sly, amusing if underconceptulized and needlessly elliptical inquiry into truth, memory and appearances.","Sep 12, 2013",http://www.metacritic.com/movie/the-last-time-i-saw-macao/details
Beyond the Gates,Stephen Holden,71,60,"Though less reassuring and not as dramatically coherent as ""Hotel Rwanda,"" it still packs a hard punch.",,http://www.metacritic.com/movie/beyond-the-gates/details
Wedding Palace,Nicole Herrington,42,60,"While the story is a bit weak, the film does a good job of contrasting Korean-Americans who steadfastly adhere to the traditions of their homeland with South Koreans who have renounced old customs.","Sep 26, 2013",http://www.metacritic.com/movie/wedding-palace/details
Meat Loaf: In Search of Paradise,,58,60,"In Search of Paradise portrays Meat Loaf as an obsessive, self-punishing performer, striving in vain to put on a live show that matches the visions in his head.",,http://www.metacritic.com/movie/meat-loaf-in-search-of-paradise/details
We the People: The Market Basket Effect,Helen T. Verongos,52,60,"The tale, ripped from the headlines, is stirring, even if the repeated rally scenes and aerial views of the region grow stale.","Apr 22, 2016",http://www.metacritic.com/movie/we-the-people-the-market-basket-effect/details
Exporting Raymond,Mike Hale,55,60,"It has the structure and some of the pleasures of a well-made sitcom or docu-reality show, despite the nervous-looking, unhappy guy at its center; it could have been called ""Nobody Understands Phil.""","Apr 28, 2011",http://www.metacritic.com/movie/exporting-raymond/details
